word	count	candidate	candidate_count	score
asohchang	1	sohchang	85	0.941
acholngah	1	cholngah	165	0.941
mun-theng	1	muntheng	150	0.941
ahing-in	1	ahingin	192	0.933
ahunghin	1	ahungin	211	0.933
natonsot	1	atonsot	124	0.933
lhingsan	1	lhingsa	60	0.933
kainsung	1	ainsung	106	0.933
atipehe	1	atipeh-e	79	0.933
ahoubung	1	houbung	173	0.933
cheng-te	1	chengte	154	0.933
kaboncha	1	aboncha	540	0.933
ahitave	1	ahitauve	114	0.933
athengsa	1	athenga	54	0.933
athengma	1	athenga	54	0.933
athengah	1	athenga	54	0.933
ganhinga	1	ganhing	112	0.933
nagaisah	1	ngaisah	55	0.933
hivanga	1	ahivanga	77	0.933
ameibang	1	meibang	55	0.933
agamthip	1	gamthip	182	0.933
ikimvela	1	kimvela	74	0.933
theiying	1	theiyin	96	0.933
chengsa	1	chengsea	61	0.933
ngah-mun	1	ngahmun	267	0.933
kapeuvin	1	apeuvin	69	0.933
ngailute	1	ngailut	64	0.933
nailaiye	1	nalaiye	132	0.933
ijemitia	1	ijemtia	82	0.933
mansanga	1	masanga	508	0.933
ahinkhop	1	ahinkho	97	0.933
adanthua	1	danthua	61	0.933
epharaim	1	ephraim	167	0.933
atoluvin	1	atouvin	53	0.933
phaiham	1	phaicham	130	0.933
asopipau	1	asopipa	69	0.933
hongchal	1	hongcha	63	0.933
nasohteu	1	nasohte	51	0.933
ikholjin	1	kholjin	76	0.933
atipeh-	1	atipeh-e	79	0.933
ikitepna	1	kitepna	334	0.933
bonchal	1	bongchal	298	0.933
ahinpohu	1	ahinpoh	70	0.933
ansunga	1	angsunga	489	0.933
sotolle	1	sottolle	63	0.933
chengseh	1	chengse	1347	0.933
tipeh-e	1	atipeh-e	79	0.933
keiyuvah	1	keiyuva	65	0.933
kiti-pan	1	kitipan	65	0.933
kahingin	1	ahingin	192	0.933
ahuh-doh	1	ahuhdoh	76	0.933
innsunga	1	insunga	274	0.933
thenggol	1	tenggol	102	0.933
hongchaa	1	hongcha	63	0.933
asum-eng	1	sum-eng	141	0.933
assiyria	1	assyria	162	0.933
ain-sung	1	ainsung	106	0.933
ikhohsah	1	khohsah	68	0.933
chondana	1	chondan	86	0.933
chu-phat	1	chuphat	468	0.933
akou-vin	1	akouvin	86	0.933
thiltosa	1	thiltoa	149	0.933
pathenpa	1	pathena	133	0.933
kitepnaa	1	kitepna	334	0.933
teng-leh	1	tengleh	400	0.933
tapou-ve	1	tapouve	125	0.933
'judahte	1	judahte	81	0.933
akailhah	1	kailhah	78	0.933
jingkaha	1	jingkah	198	0.933
nagaidam	1	ngaidam	59	0.933
achungva	1	achunga	249	0.933
epihraim	1	ephraim	167	0.933
elea'zar	1	eleazar	52	0.933
chanuteu	1	chanute	62	0.933
'lengpan	1	lengpan	413	0.933
kilhana	1	kilhaina	255	0.933
naseiyun	1	aseiyun	106	0.933
kaheitai	1	kahitai	61	0.933
hahinkho	1	ahinkho	97	0.933
kitahnaa	1	kitahna	74	0.933
kinepnan	1	kinepna	84	0.933
hamhinga	1	hamhing	92	0.933
nasatsah	1	nasatah	81	0.933
kabangin	1	abangin	56	0.933
katonsot	1	atonsot	124	0.933
lam-lhah	1	lamlhah	52	0.933
gam-sung	1	gamsung	596	0.933
thilphal	1	thilpha	231	0.933
lhungjin	1	lhungin	94	0.933
chapanga	1	chapang	110	0.933
numeinua	1	numeinu	132	0.933
louhelpa	1	louhela	98	0.933
admimset	1	adimset	91	0.933
amihonpi	1	mihonpi	50	0.933
assyrian	1	assyria	162	0.933
kimvelsa	1	kimvela	74	0.933
pakayin	1	pakaiyin	2439	0.933
na-henga	1	nahenga	221	0.933
nahiltai	1	nahitai	57	0.933
lhahuvin	1	lhauvin	66	0.933
hiluvin	1	hilouvin	80	0.933
gatauve	1	gamtauve	63	0.933
ma-sapen	1	masapen	114	0.933
ka-henga	1	kahenga	240	0.933
asei-yin	1	aseiyin	995	0.933
ahi-uvin	1	ahiuvin	703	0.933
achainan	1	achaina	60	0.933
ilamlhah	1	lamlhah	52	0.933
chalpang	1	chapang	110	0.933
kheluvin	1	heluvin	51	0.933
nadimset	1	adimset	91	0.933
chenuvin	1	cheuvin	62	0.933
chonndan	1	chondan	86	0.933
naseitai	1	aseitai	388	0.933
kipehdoh	1	kipedoh	57	0.933
kachetai	1	achetai	70	0.933
napangin	1	apangin	73	0.933
kilesah	1	kiletsah	81	0.933
kipeidoh	1	kipedoh	57	0.933
gitlona	1	gitlouna	62	0.933
a-huhdoh	1	ahuhdoh	76	0.933
ujongleh	1	jongleh	293	0.933
vahchate	1	vachate	57	0.933
abrahama	1	abraham	233	0.933
chu-koma	1	chukoma	69	0.933
atiu-vin	1	atiuvin	259	0.933
ito-bang	1	itobang	147	0.933
chi-dang	1	chidang	105	0.933
adinguva	1	dinguva	193	0.933
nahengah	1	nahenga	221	0.933
a-chunga	1	achunga	249	0.933
chutenga	1	chuteng	92	0.933
kimvel'a	1	kimvela	74	0.933
kahengah	1	kahenga	240	0.933
mi-honpi	1	mihonpi	50	0.933
athumpeh	1	athupeh	129	0.933
nu-meinu	1	numeinu	132	0.933
nahi-uve	1	nahiuve	395	0.933
kasepeh	1	kaseipeh	166	0.933
numei-nu	1	numeinu	132	0.933
na-chapa	1	nachapa	73	0.933
insungah	1	insunga	274	0.933
anahitai	1	nahitai	57	0.933
achuvin	1	acheuvin	70	0.933
solchaho	1	solchah	77	0.933
atiluvin	1	atiuvin	259	0.933
nahungin	1	ahungin	211	0.933
napeuvin	1	apeuvin	69	0.933
atahsanu	1	atahsan	133	0.933
athingin	1	ahingin	192	0.933
alungse	1	alungset	90	0.933
chukomah	1	chukoma	69	0.933
anumeiho	1	numeiho	70	0.933
acheptan	1	cheptan	57	0.933
kathitai	1	kahitai	61	0.933
kathitai	1	athitai	62	0.933
abaraham	1	abraham	233	0.933
atah-san	1	atahsan	133	0.933
ikalchuh	1	kalchuh	98	0.933
dan-thua	1	danthua	61	0.933
achungun	1	ahungun	91	0.933
loupinaa	1	loupina	237	0.933
tho-uvin	1	thouvin	53	0.933
leng-gam	1	lenggam	180	0.933
hou-bung	1	houbung	173	0.933
to-banga	1	tobanga	117	0.933
chu-tile	1	chutile	74	0.933
in-sunga	1	insunga	274	0.933
imanchah	1	manchah	222	0.933
masahpen	1	masapen	114	0.933
mangtah	1	mangthah	76	0.933
isunguva	1	sunguva	71	0.933
kahiti	1	kahitai	61	0.923
ahinlap	1	ahinla	564	0.923
khompin	1	khompi	85	0.923
khompin	1	khomin	69	0.923
lhachah	1	lhacha	154	0.923
achina	1	achaina	60	0.923
thudolu	1	thudol	267	0.923
keiying	1	keiyin	404	0.923
phatnan	1	phatna	75	0.923
gasemin	1	asemin	108	0.923
ltobang	1	tobang	701	0.923
teiying	1	teiyin	126	0.923
akhange	1	akhang	85	0.923
ameiyin	1	meiyin	80	0.923
gakipoh	1	akipoh	51	0.923
namitea	1	namite	140	0.923
athipoi	1	ahipoi	353	0.923
leiseta	1	leiset	1040	0.923
lhainan	1	lhaina	78	0.923
dungui	1	dungjui	141	0.923
phaiyin	1	paiyin	241	0.923
aseita	1	aseitai	388	0.923
tenglet	1	tengle	130	0.923
khatmaa	1	khatma	94	0.923
toluvin	1	touvin	115	0.923
banuva	1	banguva	52	0.923
pondala	1	pondal	113	0.923
hou-buh	1	houbuh	136	0.923
agantha	1	gantha	155	0.923
gamanin	1	amanin	95	0.923
ding-in	1	dingin	1598	0.923
seipeh-	1	seipeh	137	0.923
aneipen	1	neipen	54	0.923
nalheng	1	naheng	61	0.923
akivel	1	akimvel	57	0.923
katheng	1	atheng	105	0.923
aphungu	1	aphung	54	0.923
thilpe	1	thilpeh	93	0.923
iemtia	1	ijemtia	82	0.923
hinkhom	1	hinkho	134	0.923
alhaina	1	lhaina	78	0.923
changga	1	changa	221	0.923
choubou	1	chubou	81	0.923
khatse	1	khatseh	137	0.923
in-sung	1	insung	801	0.923
achuna	1	achunga	249	0.923
nam-tin	1	namtin	514	0.923
ipedoh	1	kipedoh	57	0.923
kelchan	1	kelcha	56	0.923
lhonai	1	lhontai	99	0.923
akitolu	1	akitol	123	0.923
kanungu	1	kanung	55	0.923
mosang	1	molsang	331	0.923
asempin	1	asemin	108	0.923
lhonpin	1	lhonin	533	0.923
ephrai	1	ephraim	167	0.923
agamgiu	1	agamgi	54	0.923
joushua	1	joshua	281	0.923
khopima	1	khopia	562	0.923
pahiyin	1	paiyin	241	0.923
kaphung	1	kahung	148	0.923
kaphung	1	aphung	54	0.923
ka-nung	1	kanung	55	0.923
lhangao	1	lhanga	52	0.923
lhangao	1	lhagao	460	0.923
touving	1	touvin	115	0.923
kamiteu	1	kamite	204	0.923
tobana	1	tobanga	117	0.923
atupeh	1	athupeh	129	0.923
nasolin	1	asolin	59	0.923
-itileh	1	itileh	933	0.923
ahoipoi	1	ahipoi	353	0.923
lamleng	1	lamlen	51	0.923
kamanin	1	amanin	95	0.923
athupha	1	thupha	170	0.923
ansunga	1	asunga	220	0.923
iseidoh	1	seidoh	55	0.923
kikhola	1	kikhol	61	0.923
ijatpi	1	hijatpi	116	0.923
apaiyin	1	paiyin	241	0.923
thempum	1	thempu	337	0.923
paiying	1	paiyin	241	0.923
neihing	1	neihin	162	0.923
gakisil	1	akisil	51	0.923
gakisem	1	akisem	63	0.923
lhongin	1	lhonin	533	0.923
ihiuvam	1	hiuvam	52	0.923
chih-un	1	hih-un	143	0.923
jehosah	1	jehosh	68	0.923
jehoash	1	jehosh	68	0.923
thibol	1	thilbol	187	0.923
sungiin	1	sungin	216	0.923
mintmun	1	mitmun	130	0.923
ahingla	1	ahinla	564	0.923
amanhon	1	amahon	1086	0.923
aseyin	1	aseiyin	995	0.923
themphu	1	thempu	337	0.923
apasah	1	apansah	84	0.923
mi-dang	1	midang	120	0.923
apauteu	1	apateu	119	0.923
ko-hath	1	kohath	51	0.923
latheng	1	atheng	105	0.923
athiuve	1	atiuve	386	0.923
athiuve	1	ahiuve	1307	0.923
asetai	1	aseitai	388	0.923
lho-nin	1	lhonin	533	0.923
amvang	1	amavang	304	0.923
ngaisa	1	ngaisah	55	0.923
chamnan	1	chamna	192	0.923
aotdoh	1	apotdoh	101	0.923
lhunin	1	lhungin	94	0.923
abolnan	1	abolna	54	0.923
lhangma	1	lhanga	52	0.923
asepeh	1	aseipeh	198	0.923
atodohu	1	atodoh	66	0.923
ganchaa	1	gancha	226	0.923
tauving	1	tauvin	511	0.923
kikhomu	1	kikhom	88	0.923
machung	1	achung	72	0.923
nahena	1	nahenga	221	0.923
hichen	1	hicheng	557	0.923
chateu	1	achateu	55	0.923
lengpaa	1	lengpa	2131	0.923
danthuu	1	danthu	402	0.923
etobang	1	tobang	701	0.923
kahseia	1	kahsea	64	0.923
lengan	1	lengpan	413	0.923
