Vocabulary	Count
abishaiyin	1
abishalom	1
abishu	4
abisu	1
abit	1
abiud	2
abner	67
abnerin	5
abo	4
abo-lhah	1
abod	2
abodoh	1
aboh	268
aboh-a	34
aboh-e	3
aboh-in	30
aboh-un	4
aboh-uva	2
aboh-uve	1
aboh-uvin	5
aboha	2
abohcheh-uvin	1
abohgam	1
abohhih	1
abohho	1
abohin	5
abohjie	1
abohjiu	1
abohkhoi	1
abohkhup	27
abohle	1
abohmai	1
abohna	4
abohnau	1
abohpa	1
abohpet	1
abohpi	1
abohsa	2
abohsah	1
abohsoh	5
abohtai	5
abohtan	2
abohtauvin	1
abohuva	1
abohuvin	1
aboi	1
aboijeh-uva	1
aboilah-lah	1
aboilailai	1
aboithoi	1
aboiye	1
abokanga	1
abokhen	1
abokhup	1
abol	678
abol'	1
abol'in	4
abol'u	5
abol'un	5
abol'uva	1
abol'uvin	9
abol-ho	2
abol-u	1
abola	37
abolbe	7
abolchan	2
abolda	3
aboldam	37
aboldam-e	1
aboldam-tan	1
aboldama	2
aboldame	1
aboldamin	2
aboldamjou	1
aboldampa	1
aboldampeh	1
aboldamsoh	1
aboldamtai	1
aboldamtan	1
aboldamun	1
aboldeh	2
aboldingu	1
aboldiu	1
aboldoh	72
aboldoh-u	3
aboldoh-uvin	1
aboldohna	1
aboldohsa	1
abole	2
abolel	1
abolgen	1
abolgenthei	13
abolgentheina	2
abolgentheiya	2
abolgentheiyin	1
abolgentheiyu	1
abolgim	2
abolgim-pau	1
abolgimin	1
abolgot	2
abolin	28
aboljat	1
aboljeh	4
aboljeh-a	1
aboljeh-in	1
abolji	12
aboljie	5
aboljin	5
aboljiu	2
aboljoh	2
aboljom	2
aboljon	1
aboljou	6
aboljouse	2
abolkhom	1
abolkhumsah-in	1
abolkit	1
abolkom	1
abollen	1
abollhon	1
abollhontai	1
abolmou	1
abolna	54
abolnaa	1
abolnah	1
abolnan	1
abolnau	4
abolnauva	3
abolngai	1
abolni	3
abolnom	4
abolpa	1
abolpai	1
abolpat	2
abolpeh	43
abolpeh-a	1
abolpeh-e	2
abolpeh-in	2
abolpeh-u	1
abolpeh-uvin	1
abolpehna	1
abolpehpa	1
abolpha	1
abolpin	3
abolpoi	5
abolpon	3
abolpouve	2
abolsa	11
abolsah	9
abolsah-e	1
abolsah-in	1
abolsahpoi	1
abolsan	1
abolse	1
abolsea	1
abolset	13
abolsetan	1
abolsetauve	1
abolsetje	1
abolsetna	2
abolseuve	1
abolseuvin	1
abolsoh	22
aboltai	53
aboltan	12
aboltauve	30
aboltauvin	9
aboltei	1
abolthei	1
aboltheina	3
abolu	17
abolun	14
aboluva	13
aboluve	4
aboluvin	19
abom	1
aboma	1
abon	103
abon-chan	2
abon-chauva	2
abon-chauvin	3
abona	2
abonbut	1
aboncbauva	1
aboncha	540
abonchajah	1
abonchan	639
abonchanin	1
abonchau	14
abonchau-vin	1
abonchauva	292
abonchauvin	302
abonchauyin	1
abonchavin	1
abong	7
abongchal	15
abongchalte	1
abonghon	1
abongin	1
abongjong	1
abongpi	1
abongtai	1
abongu	2
abonin	24
abonkhup	1
abonun	2
abophaden	1
abot	6
abotal	1
abotdoh	1
abotel	2
abottan	1
abottel	24
abotwi	6
abraham	233
abrahama	1
abrahamin	24
abram	59
abramin	9
abramjah	1
abronah	2
absalom	7
absalomin	3
abu	3
abu-lu	1
abua	1
abuh	7
abuhthi	1
abuikhuh	1
abuipi	2
abukip	1
abukong	1
abul	43
abula	3
abulbal	4
abulhin	1
abulhina	1
abulhing	2
abulhingset	1
abulhinnau	1
abulhit	8
abulhitsoh	1
abulkhom	1
abulpen	1
abulpi	4
abulpia	1
abulu	2
abulua	1
abuluvin	1
abung	14
abungbua	4
abungbun	1
abungin	4
abunglhan	1
abupeh-in	1
abupeh-uvin	2
abusan	1
abusunga	2
abut	2
abutpi	1
ac	6
acah	29
acath	1
accad	1
accoa	1
ach	2
ach-shaph	1
acha	31
acha-pa	2
acha-teni	1
achagateu	1
achah	11
achah-e	1
achah-ujong	1
achai	11
achaia	10
achaicus	1
achaidoh	1
achaihel	1
achaina	60
achaina-in	1
achainakei	2
achainan	1
achaisoh	5
achaitan	1
achaiya	2
achaiyin	1
achaiyun	1
achaiyuva	1
achal	87
achalbe	6
achalbea	2
achalgua	1
achaljon	1
achalma	1
achaloh	1
achalohna	1
achalpang	4
achalpanga	2
achalpou	1
achalsam	1
achalsohtai	1
achaltol	3
achaluvin	1
acham	93
achama	4
achamin	4
achamkim	4
achamkima	1
achamkimin	1
achamkimna	1
achamkimsa	1
achamkimsah	2
achamlhat	4
achamlouva	4
achamtah	9
achamtah-	1
achamtah-in	3
achan	95
achana	2
achanbe	1
achancheh	1
achandia	1
achandiu	2
achang	87
achang-at	1
achang-oi	1
achanga	7
achangbong	2
achangbou	1
achange	8
achanghoi	1
achangin	19
achangkhai	1
achanglhah	5
achanglhi	2
achanglhiding	1
achanglou	1
achangpai	1
achangpal	2
achangpan	2
achangpang	3
achangpanna	1
achangphola	2
achangpoi	1
achangsal	1
achangseh	33
achangseh-in	8
achangsi	1
achangsoh	3
achangtai	4
achangtan	3
achangtauve	4
achangu	5
achangui	1
achangun	2
achanguva	1
achanguvin	4
achangva	1
achanin	1
achanjin	2
achanle	1
achanlel	1
achanlhih	1
achanlhih-u	2
achanlo	3
achanloi	1
achanlom	1
achanlon	1
achanlou	3
achanna	6
achansah	22
achansah-a	1
achansah-in	3
achansah-u	3
achansahho	1
achansahji	1
achansahna	1
achansel	1
achansoh	1
achantah	1
achanthe	1
achanu	69
achanun	5
achanute	21
achanuten	3
achanuteu	14
achaokol	3
achap	5
achapa	270
achapan	5
achapang	2
achapate	177
achapaten	24
achapateu	17
achapatoh	1
achapden	1
