Vocabulary	Count
hesoh	193
masang	193
tuni	193
benjamin	193
hile	192
ahingin	192
chamna	192
nakhut	190
hop	190
thempupan	190
lhun	189
keh	189
thina	189
koima	189
dou	188
atileh	187
pou	187
loi	187
lungset	187
mitin	187
nahung	187
che	187
thilbol	187
mk	187
anu	184
alah	184
alut	184
canaan	183
thempuho	183
loupi	183
langa	182
mu	182
gamthip	182
suh	182
sun	181
apen	181
get	181
theiya	181
agam	181
nilhum	181
athat	181
chenna	181
lenggam	180
nasei	180
asol	180
loiyin	179
alhingin	178
agamsung	178
taona	178
pouvin	178
ogin	178
ka	177
achapate	177
don	177
jeh-in	176
thah	176
ahenga	176
asuh	176
lengpitwi	175
peter	174
ima	174
hetna	174
naneh	174
asat	174
chungnung	174
samuel	173
atoh	173
kitol	173
houbung	173
thoh	172
ammon	172
jiuvin	172
nunga	171
thempupa	171
kin	170
thupha	170
thet	169
kulpi	169
bei	168
heng	168
hat	168
nai	168
napeh	168
potdoh	167
jon	167
diuvin	167
nun	167
ephraim	167
lhona	166
melchihna	166
boh	166
nanei	166
chon	166
kaseipeh	166
chaten	166
khoppi	166
cholngah	165
jie	165
hichepa	164
kotpi	164
aume	164
sum	164
uve	164
maiya	164
hoi	163
nalah	163
najah	163
hinna	162
assyria	162
lei	162
chujou	162
shekel	162
neihin	162
asa	162
zion	161
thutan	160
thua	160
chengseu	160
nasa	160
john	159
monga	159
hou	159
anung	158
ing	157
jeremiah	156
chutia	156
jal	156
nahet	156
nisa	155
temin	155
kasuh	155
amoh	155
gantha	155
talen	155
chengte	154
kal	154
lhacha	154
kalung	154
hichengse	153
midih	152
pal	152
syria	152
elijah	152
dimset	151
jongle	151
elisha	151
napu	150
namu	150
muntheng	150
hezeki	150
achunguva	149
gammang	149
thiltoa	149
koiham	148
panga	148
kahung	148
ada	148
ngah	147
chibai	147
hang	147
laltouna	147
itobang	147
milim	147
cheh-in	146
atha	146
chal	146
lamkaipa	146
athilbol	145
ahiloule	145
mipin	145
hettohsah	145
kisat	145
kanei	144
milen	144
ache	143
meikong	143
alungthim	143
kangtalai	143
al	143
juda	143
hih-un	143
dungjuiyin	142
lo	142
abang	142
dounan	142
itih	142
dingun	142
dungjui	141
sum-eng	141
ta	141
ka-pathen	141
doi	141
meiya	141
zar	141
koipen	140
namite	140
anahi	139
ahinai	139
naum	139
nahim	139
ching	139
kicha	139
mit	138
kilah	138
kitoh	138
tengu	138
ponsil	137
jouvin	137
khatseh	137
seipeh	137
akipatdoh	137
ga	137
nalung	137
tahbeh	136
tol	136
bel	136
na-pathenin	136
houbuh	136
jonathan	136
jerobo	136
thih	135
ahab	135
hinkho	134
gamgi	134
hinam	134
kap	134
anun	134
themmo	134
lengte	133
apha	133
ahing	133
amit	133
pathena	133
khon	133
atahsan	133
muthim	132
nilhah	132
tola	132
numeinu	132
nalaiye	132
tu	132
hiding	132
naosen	132
chua	131
thaotwi	131
vaihom	131
kisun	131
nachunga	130
mitmun	130
khang	130
tengle	130
phaicham	130
thinglhang	130
jinga	130
lekhabua	130
vana	129
ina	129
neiya	129
athupeh	129
keiyuvin	129
mei	129
kachapa	129
lhosoh	129
ijakai	129
eihon	128
hijeng	128
asopite	127
louvu	127
ahil	127
keiyun	127
sakei	127
ten	126
kakhut	126
goulo	126
teiyin	126
ahet	126
jengu	126
seiyin	125
tapouve	125
jehoi	125
atonsot	124
isaac	124
dim	124
beiya	124
jengun	124
avah	123
gol	123
edom	123
lhai	123
akitol	123
manas	123
ju	122
amun	122
lhone	122
asah	121
mongin	121
pum	121
kai	121
that	121
levite	121
ajinu	120
midang	120
aponsil	120
kaum	120
lah-a	120
keiye	119
peh-in	119
gamla	119
tang	119
koimacha	119
koiman	119
songpi	119
apateu	119
thutanna	119
samaria	119
gou	118
laitah	118
eli	118
tobanga	117
sangan	116
kha	116
hijatpi	116
umchan	116
nauva	116
gilead	116
chutileh	116
ash	116
el	116
lentah	115
pumpia	115
loulai	115
ngaiyin	115
touvin	115
kamu	115
tunia	115
anabol	115
aseijuite	115
ahitauve	114
masapen	114
atahsa	114
mitmua	114
bong	114
leuvin	114
iah	114
vai	113
thip	113
khoh	113
tao	113
pondal	113
ganhing	112
napa	112
athoh	112
gaothu	112
tapou	111
ahijeh	111
ijeh	111
aneiyin	111
lungsetna	111
leu	110
vet	110
dih	110
esau	110
chapang	110
achonset	110
job	109
da	109
gilou	109
kel	109
nati	109
ajah-uva	109
chemjama	109
asemin	108
laiyin	108
amanun	108
akilah	108
alan	108
ohe	108
salom	108
kipat	107
del	106
vin	106
nalai	106
ainsung	106
namit	106
ong	106
migilou	106
jenguve	106
aseiyun	106
gamna	106
nit	106
neilou	106
beihel	106
abi	106
pharisee	106
jinu	105
hoa	105
agamsunga	105
nou	105
lampia	105
lom	105
ban	105
na-pathenu	105
atheng	105
chidang	105
atitai	104
apeng	104
nalungthim	104
hol	104
daniel	103
abon	103
helin	103
son	103
pumin	103
nasuh	103
mol	103
thang	103
jerusalema	103
thutah	103
thusim	102
athil	102
achom	102
tenggol	102
mina	102
hoiya	101
phu	101
asem	101
migiloute	101
theilou	101
apotdoh	101
twipi	100
gamsa	100
gaosap	100
tijat	100
lhum	100
angai	100
kapa	100
adongin	100
diuva	100
sat	100
lhontai	99
muchi	99
umna	99
ko	99
aseipeh-in	99
kipa	99
atiu	99
ahilhone	98
katao	98
louhela	98
asan	98
auma	98
kalchuh	98
semthu	98
kenjong	98
dingle	97
gollhang	97
nisom	97
khen	97
athusei	97
jala	97
akoma	97
ahinkho	97
masah	97
ahetdoh	97
reuben	97
nahenguva	97
pannabei	97
anatoh	96
chilhah	96
tho	96
athisan	96
nanga	96
theiyin	96
thaomei	96
kihei	95
lekhabu	95
ngaito	95
amanin	95
puidoh	95
achan	95
khatma	94
nat	94
mihat	94
amor	94
lhungin	94
akap	94
ngaiyuvin	94
gad	94
apoh	94
asepaite	94
themgaopa	94
samson	94
gim	93
inge	93
thilpeh	93
ipijeh-inem	93
kichat	93
sopite	93
sumkon	93
nu-ngah	93
acham	93
jiuve	93
ahamhing	93
chutobang	92
chuteng	92
hamhing	92
go	92
alha	92
somthum	92
geldoh	92
amai	92
amasa	92
lum	92
doumah	92
ahunguvin	92
achate	92
apang	92
moh	92
ibola	91
sahlam	91
kholai	91
kahiuve	91
kamit	91
ging	91
natong	91
adimset	91
ahungun	91
hilouva	91
mi-ngol	91
kathupeh	90
bola	90
anneh	90
him	90
alungset	90
adon	90
ngol	90
jet	90
khattou	89
leivui	89
chr	89
mihemin	89
eihin	89
kahsen	89
set	89
kikhom	88
kalungthim	88
be	88
thanom	88
tapon	87
achal	87
lhingset	87
acheng	87
hebron	87
aheng	87
thim	87
achang	87
nachunguva	87
nithum	86
lailunga	86
nao	86
kot	86
akouvin	86
mangin	86
manthahna	86
asohte	86
nange	86
chondan	86
galsat	86
phatah	86
thulem	86
aki	85
sopi	85
akeng	85
khompi	85
anga	85
akhang	85
noi	85
cham	85
sohchang	85
tupat	85
i	85
ahaz	85
baptize	85
apansah	84
chonsetna	84
inem	84
pumpin	84
thilkeo	84
nanit	84
nahiu	84
kinepna	84
huhhinga	84
vahchoi	84
det	83
natin	83
umdoh	83
chet	83
miching	83
tailou	83
thot	83
jeho	83
ajat	82
gentheina	82
asung	82
ading	82
pheng	82
kom	82
puilut	82
molsanga	82
ijemtia	82
akeh	81
nungin	81
chubou	81
umlou	81
thilsoh	81
khao	81
got	81
neina	81
lhuh	81
inpi	81
kiletsah	81
kamun	81
nasatah	81
aitih	81
judahte	81
adung	80
thalpi	80
namin	80
noti	80
akijam	80
hahsa	80
meiyin	80
ahingdoh	80
labol	80
hilouvin	80
ling	79
atipeh-e	79
asang	79
kam	79
san	79
nal	79
galilee	79
thuh	78
mihing	78
sah-in	78
bon	78
touna	78
ajam	78
lhaina	78
salam	78
jam	78
nagel	78
kailhah	78
tenguleh	78
dauvin	78
longlou	78
jingun	78
thingphung	77
ahivanga	77
tina	77
ahilou	77
asoh	77
keijong	77
alhinge	77
cheh-uvin	77
poh	77
alhinguvin	77
abah	77
ahol	77
kimvel	77
ahinpo	77
hui	77
solchah	77
josi	77
simon	77
sam	76
intin	76
kondoh	76
kachunga	76
ahuhdoh	76
manga	76
jiu	76
kelchal	76
pah	76
kholjin	76
lutna	76
kol	76
aphondoh	76
cedar	76
mangthah	76
balaam	76
bahkai	76
akho	75
golvah	75
lih	75
phatna	75
kimvela	74
kate	74
hichepet	74
sahem	74
vacha	74
ai	74
kitan	74
akum	74
chutile	74
napan	74
hunga	74
kitahna	74
i-pathenu	74
seipeh-in	74
aseiyuvin	74
phatchomna	74
avet	73
achun	73
dinguvin	73
khup	73
gamkai	73
nachapa	73
kathusei	73
het	73
lui	73
apangin	73
selah	73
kipatdoh	72
laiye	72
naseipeh	72
nasohpa	72
achuti	72
achung	72
lhut	72
ajot	72
kokhuh	72
agel	72
amitakip	72
aboldoh	72
kholna	72
achon	72
nalaiyin	71
agah	71
kahet	71
aseidoh	71
sahna	71
ngim	71
chol	71
koimachan	71
sunguva	71
napateu	71
akihei	71
nolnabei	71
lal	71
rehobo	71
vannoiya	70
pumhat	70
achetai	70
bethel	70
numeiho	70
ahinpoh	70
khatcha	70
nathu	70
ain	70
ajo	70
acheuvin	70
asam	70
natahsan	70
hise	70
todoh	70
dokhang	70
talent	70
kisemthu	70
kiselna	70
name	69
puma	69
panpi	69
asopipa	69
meilhang	69
kham	69
hikom	69
chukoma	69
achanu	69
mitmu	69
apetai	69
jah-a	69
midian	69
apan	69
khomin	69
apeuvin	69
songkul	69
anit	69
milimdoi	69
athahat	69
lengvaipoh	69
jehu	69
ahsi	68
ahinseiyin	68
bolna	68
agot	68
beiyin	68
nate	68
atia	68
khohsah	68
aseitauve	68
ahim	68
galmuna	68
kikoi	68
gamsungse	68
hatchungnung	68
jehosh	68
ang	67
asopi	67
lunghan	67
hungin	67
kathu	67
mihemte	67
nahetdoh	67
mah	67
achilhah	67
iham	67
hettohsahna	67
houna	67
lebanon	67
tyre	67
abner	67
book	66
ijem	66
apau	66
atam	66
lhanglam	66
ha	66
tenia	66
itobanga	66
kihahsel	66
kijot	66
alhinguve	66
lhauvin	66
amasanga	66
chuta	66
twiya	66
kijam	66
lengpilei	66
kithat	66
ahomkeova	66
munthenga	66
atodoh	66
amatah	65
keiyuva	65
agol	65
neldi	65
kitah	65
twinah	65
neipa	65
thenga	65
kitipan	65
jericho	65
shim	65
mor'decai	65
olive	64
shechem	64
hoitah	64
alo	64
im	64
tem	64
aban	64
gamlah	64
kache	64
kavet	64
bah	64
alah-uva	64
nalungset	64
kahsea	64
aloi	64
themna	64
thengsel	64
cherub	64
thon	64
aleng	64
thutep	64
ngailut	64
lengnu	64
zedeki	64
esther	63
akisem	63
kamudoh	63
kisuh	63
gamtauve	63
hepina	63
phah	63
sot	63
chengsen	63
sottolle	63
sau	63
lamkaiho	63
lamkaiya	63
lhem	63
hil	63
vahchoiyun	63
hongcha	63
elech	63
milalte	63
i-pakaiyu	63
umah	62
athitai	62
gitlouna	62
chanute	62
sumang	62
akou	62
damascus	62
nato	62
jeh-u	62
cheuvin	62
keng	62
chauvin	62
lhu	62
haman	62
chengsea	61
vei	61
noah	61
anaum	61
akitin	61
naboh	61
polama	61
hit	61
chanin	61
aumna	61
kahitai	61
akiti	61
lukhuh	61
adalhah	61
kama	61
eiti	61
akom	61
naheng	61
kisel	61
huhhingna	61
twikul	61
ompho	61
kikhol	61
danthua	61
akim	61
ahon	60
ngan	60
akisat	60
lhingsa	60
akoi	60
natha	60
kitinu	60
lhing	60
athum	60
lhep	60
angsung	60
alu	60
kisil	60
kamsunga	60
bongnou	60
kijih	60
nathupeh	60
achaina	60
amen	60
nalhachapa	60
kagel	60
abram	59
masangin	59
kelngoite	59
kana	59
jia	59
dong	59
asolin	59
kakoma	59
von	59
khoma	59
kahipoi	59
thanei	59
pul	59
amon	59
suhmang	59
ngaidam	59
chama	59
aloupina	59
bashan	59
ngailutna	59
mariam	59
sem	58
